year,state_abbr,state_name,population,violent_crime,property_crime,total_crime,homicide,rape_legacy,rape_legacy_cleaned,aggravated_assault,robbery,rape_revised,rape_revised_cleaned,burglary,larceny,motor_vehicle_theft,violent_crime_rate_100k,%violent_crime_100k,property_crime_rate_100k,%property_crime_100k,%total_crime_per_100k
2012,WY,Wyoming,576626,1161,13222,14383,14,154,154,932,61,,0,2125,10513,584,201.3436786,0.201343679,2292.994072,2.292994072,2.494337751
2012,WV,West Virginia,1856680,5943,44500,50443,70,415,415,4623,835,,0,11466,30800,2234,320.087468,0.320087468,2396.75119,2.39675119,2.716838658
2012,WI,Wisconsin,5724554,16254,140780,157034,169,1228,1228,10165,4692,,0,27931,104619,8230,283.9347834,0.283934783,2459.230885,2.459230885,2.743165668
2012,WA,Washington,6895318,20553,254377,274930,217,2250,2250,12285,5801,,0,61376,166338,26663,298.0718221,0.298071822,3689.126448,3.689126448,3.98719827
2012,VT,Vermont,625953,891,15653,16544,8,131,131,638,114,,0,4179,11014,460,142.3429555,0.142342956,2500.666983,2.500666983,2.643009938
2012,VA,Virginia,8186628,15676,178434,194110,322,1505,1505,9131,4718,,0,29651,139654,9129,191.4829891,0.191482989,2179.578698,2.179578698,2.371061687
2012,UT,Utah,2854871,5939,86284,92223,52,975,975,3807,1105,,0,13095,67157,6032,208.0304154,0.208030415,3022.343216,3.022343216,3.230373632
2012,TX,Texas,26060796,106475,876459,982934,1148,7715,7715,67227,30385,,0,205002,606425,65032,408.5638827,0.408563883,3363.132116,3.363132116,3.771695999
2012,TN,Tennessee,6454914,41213,217925,259138,400,2047,2047,30615,8151,,0,56231,148731,12963,638.4748116,0.638474812,3376.110046,3.376110046,4.014584857
2012,SD,South Dakota,834047,2701,17326,20027,23,600,600,1921,157,,0,3280,12973,1073,323.8426611,0.323842661,2077.340965,2.077340965,2.401183626
